年级	书名	学科	册别	学段	出版社	版本	def_page_index	内容起始页	ISBN	价格	页数
一年级	劳动与技术一年级上册	劳动与技术	上册	小学	江苏科学技术出版社	08版	2	3	0	0	12
一年级	数学一年级上册（2012版）	数学	上册	小学	江苏教育出版社	08版	2	6	0	0	118
一年级	牛津小学英语一年级上册	英语	上册	小学	译林出版社	08版	2	6	0	0	90
一年级	语文一年级上册（教学参考用书）	语文	上册	小学	江苏教育出版社	08版	2	6	987-7-5343-4145-8	0	280
一年级	语文一年级上册	语文	上册	小学	江苏教育出版社	08版	2	8	0	0	150
一年级	数学一年级下册	数学	下册	小学	江苏教育出版社	08版	2	10	0	0	116
一年级	数学一年级上册	数学	上册	小学	江苏教育出版社	08版	2	6	0	0	118
一年级	语文一年级下册	语文	下册	小学	江苏教育出版社	08版	2	8	978-7-5343-4368-1	0	162
一年级	美术一年级下册	美术	下册	小学	江苏少年儿童出版社	08版	2	4	978-7-5346-6760-2	0	54
一年级	美术一年级上册	美术	上册	小学	江苏少年儿童出版社	08版	2	4	978-7-5346-6455-7	0	54
一年级	音乐一年级上册（简谱）	音乐	上册	小学	江苏少年儿童出版社	08版	2	8	0	0	70
一年级	音乐一年级上册（线谱）	音乐	上册	小学	江苏少年儿童出版社	08版	2	8	0	0	70
一年级	英语1B	英语	下册	小学	译林出版社	08版	2	6	978-7-5447-0196-9	4.79	102
一年级	音乐一年级下册（线谱）	音乐	下册	小学	江苏少年儿童出版社	08版	2	8	978-7-5346-6757-2	7.61	70
一年级	音乐一年级下册（简谱）	音乐	下册	小学	江苏少年儿童出版社	08版	2	8	978-7-5346-6756-5	7.61	70
一年级	数学一年级下册（2012版）	数学	下册	小学	江苏教育出版社	08版	2	6	978-7-5499-2439-4	6.54	114
一年级	品德与生活一年级下册(2014)	品德与生活	下册	小学	江苏教育出版社	08版	2	6	978-7-5031-3192-9	0	66
一年级	品德与生活一年级上册(2014)	品德与生活	上册	小学	江苏教育出版社	08版	2	6	0	0	74
二年级	劳动与技术二年级上册	劳动与技术	上册	小学	江苏科学技术出版社	08版	2	3	0	0	12
二年级	牛津小学英语二年级上册	英语	上册	小学	译林出版社	08版	2	6	0	0	100
二年级	语文二年级上册（教学参考用书）	语文	上册	小学	江苏教育出版社	08版	2	6	978-7-5343-4616-3	0	304
二年级	数学二年级下册	数学	下册	小学	江苏教育出版社	08版	2	8	0	0	114
二年级	数学二年级上册	数学	上册	小学	江苏教育出版社	08版	2	10	0	0	122
二年级	语文二年级上册	语文	上册	小学	江苏教育出版社	08版	2	8	978-7-5343-4616-3	0	158
二年级	语文二年级下册	语文	下册	小学	江苏教育出版社	08版	2	8	978-7-5343-4900-3	0	154
